title,NEW impact,NEW category
Allosteric regulation of the Golgi-localized PPM1H phosphatase by Rab GTPases modulates LRRK2 substrate dephosphorylation in Parkinson’s disease,Elucidating known PD pathways,Clearance
"RAB32 Ser71Arg in autosomal dominant Parkinson's disease: linkage, association, and functional analyses",Elucidating known PD pathways,Clearance
Dopaminergic axons track somatic signaling in behaving mice,Elucidating known PD pathways,Circuitry & Neuromodulation
Astrocytic polyamine transport by ATP13A4 tunes excitatory synaptic transmission,Elucidating known PD pathways,Translational and Clinical Measures of Disease Biology
A molecular atlas of cell-type specific signatures in the parkinsonian striatum,New target/circuit for PD,Methods
Distinct spatially organized striatum-wide acetylcholine dynamics for the learning and extinction of Pavlovian associations,Foundational Biology,Circuitry & Neuromodulation
Defect in hematopoiesis and embryonic lethality at midgestation of Vps13a/Vps13c double knockout mice,Foundational Biology,Clearance
Bridge-like lipid transfer protein 3A (BLTP3A) is associated with membranes of the late endocytic pathway and is an effector of CASM,Elucidating known PD pathways,Clearance
Triglycerides are an important fuel reserve for synapse function in the brain,Foundational Biology,Translational and Clinical Measures of Disease Biology
Repetitive Levodopa Treatment Drives Cell Type-Specific Striatal Adaptations Associated With Progressive Dyskinesia in Parkinsonian Mice,Elucidating known PD pathways,Circuitry & Neuromodulation
GenoTools: an open-source Python package for efficient genotype data quality control and analysis,New method/model to explore PD mechanism,Omics
"Faecalibacterium prausnitzii, depleted in the Parkinson's disease microbiome, improves motor deficits in α-synuclein overexpressing mice",Elucidating known PD pathways,"Gut & Microbiome, Imflammation & Immune Regulation"
Evaluating the performance of polygenic risk profiling across diverse ancestry populations in Parkinson’s disease,New method/model to explore PD mechanism,Omics
Drug Repurposing for Parkinson's Disease: A Large-Scale Multi-Cohort Study,Foundational Biology,PD Risk Factors
LINE-1 retrotransposons drive human neuronal transcriptome complexity and functional diversification,New method/model to explore PD mechanism,Omics
Neither alpha-synuclein fibril strain nor host murine genotype influences seeding efficacy,Elucidating known PD pathways,"Proteinopathy, PD Risk Factors"
Structural basis for Parkinson’s Disease-linked LRRK2’s binding to microtubules,Elucidating known PD pathways,Translational and Clinical Measures of Disease Biology
Activation of transposable elements is linked to a region- and cell-type-specific interferon response in Parkinson’s disease,New target/circuit for PD,Inflammation & Immune Regulation
"AutoMorphoTrack: An Automated Python Package for Organelle Morphology, Motility, and Colocalization Analysis in Live-Cell Imaging",New method/model to explore PD mechanism,Methods
Robust analytical methods for bis(monoacylglycero)phosphate profiling in health and disease,New method/model to explore PD mechanism,Methods
LRRK2G2019S acts as a dominant interfering mutant in the context of iron overload,Elucidating known PD pathways,Clearance
A single Citrobacter rodentium infection in Pink1 knockout and wild type mice leads to regional blood-brain-barrier perturbation and glial activation without dopamine neuron axon terminal loss,Elucidating known PD pathways,Inflammation & Immune Regulation
Lrrk2 G2019S mutation incites increased cell-intrinsic neutrophil effector functions and intestinal inflammation in a model of infectious colitis,New method/model to explore PD mechanism,Inflammation & Immune Regulation
Integrated Representations of Threat and Controllability in the Lateral Frontal Pole,Foundational Biology,Circuitry & Neuromodulation
Structural basis for binding of RILPL1 to TMEM55B reveals a lysosomal platform for adaptor assembly through a conserved TBM motif,Elucidating known PD pathways,Clearance
Neuromodulator control of energy reserves in dopaminergic neurons,Foundational Biology,Circuitry & Neuromodulation
A lipid transfer-dependent feedback loop activates ATG9A compartments in autophagy initiation,Foundational Biology,Clearance
Bidirectional regulation of glycoprotein nonmetastatic melanoma protein B by β-glucocerebrosidase deficiency in GBA1 isogenic dopaminergic neurons from a patient with Gaucher disease and parkinsonism,Elucidating known PD pathways,Clearance
Presynaptic GABAA receptors control integration of nicotinic input onto dopaminergic axons in the striatum,Elucidating known PD pathways,Circuitry & Neuromodulation
Corticonigral projections recruit substantia nigra pars lateralis dopaminergic neurons for auditory threat memories,New target/circuit for PD,Circuitry & Neuromodulation
Autophagic stress activates distinct compensatory secretory pathways in neurons,Elucidating known PD pathways,"Clearance, PD Risk Factors"
Striatal lateral inhibition regulates action selection in a mouse model of levodopa-induced dyskinesia,Elucidating known PD pathways,Circuitry & Neuromodulation
EVscope: A Comprehensive Bioinformatics Pipeline for Accurate and Robust Analysis of 1 Total RNA Sequencing from Extracellular Vesicles,New method/model to explore PD mechanism,Methods
"Aseptic, semi-sealed cranial chamber implants for chronic multi-channel neurochemical and electrophysiological neural recording in nonhuman primates",New method/model to explore PD mechanism,Methods
Microinvasive Probes for Monitoring Electrical and Chemical Neural Activity in Nonhuman Primates,New method/model to explore PD mechanism,Methods
Inflamed Microglia like Macrophages in the Central Nervous System of Prodromal Parkinson′s Disease,Elucidating known PD pathways,"Inflammation & Immune Regulation, Omics"
Characterizing Parkinson's Disease Clinical and Biomarker Interactions in REM Sleep Behavior Disorder,Elucidating known PD pathways,Translational and Clinical Measures of Disease Biology
"Development of a simplified smell test to identify Parkinson’s disease using multiple cohorts, machine learning and item response theory",Elucidating known PD pathways,Methods
Skip Nav Destination Tools|July 30 2025 AI-directed voxel extraction and volume EM identify intrusions as sites of mitochondrial contact,New method/model to explore PD mechanism,Clearance
HyDrop v2: Scalable atlas construction for training sequence-to-function models,New method/model to explore PD mechanism,Omics
CREsted: modeling genomic and synthetic cell type-specific enhancers across tissues and species,Foundational Biology,Omics
The bridge-like lipid transport protein VPS13C/PARK23 mediates ER-lysosome contacts upon lysosome damage,Elucidating known PD pathways,Clearance
Integrative analysis reveals a conserved role for the amyloid precursor protein in proteostasis during aging,Foundational Biology,"PD Risk Factors, Proteinopathy"
"EndoMAP.v1, a Structural Protein Complex Landscape of Human Endosomes",New method/model to explore PD mechanism,Clearance
"PPM1M, a LRRK2-counteracting, phosphoRab12-preferring phosphatase with potential link to Parkinson’s disease",Elucidating known PD pathways,"Clearance, PD Risk Factors"
In situ cryo-ET visualization of mitochondrial depolarization and mitophagic engulfment,Elucidating known PD pathways,Clearance
ATG2A engages Rab1a and ARFGAP1 positive membranes during autophagosome biogenesis,Elucidating known PD pathways,Clearance
Soluble Immune Factor Profiles in Blood and CSF Associated with LRRK2 Mutations and Parkinson's Disease,Elucidating known PD pathways,"Clearance, Inflammation & Immune Regulation"
Transcriptional programs mediating neuronal toxicity and altered glial-neuronal signaling in a Drosophila knock-in tauopathy model,Foundational Biology,Proteinopathy
Postsynaptic adaptations in direct pathway muscarinic M4-receptor signaling follow the temporal and regional pattern of dopaminergic degeneration,New target/circuit for PD,Circuitry & Neuromodulation
Genetically encoded self-assembling synuclein for tunable Parkinsonian pathology in vitro and in vivo,New method/model to explore PD mechanism,"Methods, Proteinopathy"
Network analysis of α-synuclein pathology progression reveals p21-activated kinases as regulators of vulnerability,Elucidating known PD pathways,"Methods, Proteinopathy"
Exploring the relationship between GBA1 host genotype and gut microbiome in the GBA1L444P/WT mouse model: Implications for Parkinson disease pathogenesis,Elucidating known PD pathways,Gut & Microbiome
Severe GBA1 variants drive the GBA-PD clinical phenotype: implications for counselling and clinical trials,Foundational Biology,Clearance
Cholesterol-mediated Lysosomal Dysfunction in APOE4 Astrocytes Promotes α-Synuclein Pathology in Human Brain Tissue,New method/model to explore PD mechanism,"Proteinopathy, Methods"
Specific cell states underlie complex tissue regeneration in spiny mice,Foundational Biology,Inflammation & Immune Regulation
Molecularly-guided spatial proteomics captures single-cell identity and heterogeneity of the nervous system,Foundational Biology,Methods
LINE-1 retrotransposons mediate cis-acting transcriptional control in human pluripotent stem cells and regulate early brain development,Foundational Biology,"PD Risk Factors, Methods"
α-Synuclein aggregates inhibit ESCRT-III through sequestration and collateral degradation,Elucidating known PD pathways,"Proteinopathy, Clearance"
GPNMB is a biomarker for lysosomal dysfunction and is secreted via LRRK2-modulated lysosomal exocytosis,Elucidating known PD pathways,Clearance
Lysosomal Glucocerebrosidase is needed for ciliary Hedgehog signaling: A convergent pathway to Parkinson’s disease,Elucidating known PD pathways,"Clearance, Circuitry & Neuromodulation"
The gut microbiome promotes mitochondrial respiration in the brain of a Parkinson’s disease mouse model,New target/circuit for PD,"Gut & Microbiome, Clearance"
Anxa1+ dopamine neuron vulnerability defines prodromal Parkinson’s disease bradykinesia and procedural motor learning impairment,Elucidating known PD pathways,Circuitry & Neuromodulation
Dopamine and cortical iPSC-derived neurons with different Parkinsonian mutations show variation in lysosomal and mitochondrial dysfunction: implications for protein deposition versus selective cell loss,Elucidating known PD pathways,"Clearance, Methods"
Transgenic A53T mice have astrocytic a-synuclein  aggregates in dopamine and striatal regions,Elucidating known PD pathways,"Methods, Proteinopathy"
Subsecond Analysis of Locomotor Activity in Parkinsonian Mice,Foundational Biology,Methods
The pyrethroid insecticide deltamethrin disrupts neuropeptide and monoamine signaling pathways in the gastrointestinal tract,Foundational Biology,"Gut & Microbiome, Imflammation & Immune Regulation"
The mitochondrial unfolded protein response promotes senescence in human microglia by increasing S-adenosylmethionine availability for polyamine synthesis,Foundational Biology,"Clearance, PD Risk Factors"
Single cell long read whole genome sequencing reveals somatic transposon activity in human brain,New method/model to explore PD mechanism,"Omics, Inflammation & Immune Regulation"
Thalamic integration of basal ganglia and cerebellar circuits during motor learning,Elucidating known PD pathways,Circuitry & Neuromodulation
A Protocol for Neuralized Murine Olfactory Organoids,New method/model to explore PD mechanism,Methods
Structural analyses define the molecular basis of clusterin chaperone function,Elucidating known PD pathways,Proteinopathy
RGS10 Attenuates Systemic Immune Dysregulation Induced by Chronic Inflammatory Stress,New target/circuit for PD,Inflammation & Immune Regulation
Spatial genomics of AAVs reveals mechanism of transcriptional crosstalk that enables targeted delivery of large genetic cargo,Foundational Biology,Omics
Cell-Type Resolved Protein Atlas of Brain Lysosomes Identifies SLC45A1-Associated Disease as a Lysosomal Disorder,New method/model to explore PD mechanism,"Clearance, Methods"
Mitochondrial fission controls astrocyte morphogenesis and organization in the cortex,Foundational Biology,"Clearance, Cellular Subtyping"
Assembloid model to study loop circuits of the human nervous system,New method/model to explore PD mechanism,Methods
DIO-SPOTlight Transgenic Mouse to Functionally Monitor Protein Synthesis Regulated by the Integrated Stress Response,New method/model to explore PD mechanism,"Circuitry & Neuromodulation, Methods"
Baseline α-synuclein seeding activity and disease progression in sporadic and genetic Parkinson's disease in the PPMI cohort,Foundational Biology,Methods
Abnormal hyperactivity of specific striatal ensembles encodes distinct dyskinetic behaviors revealed by high-resolution clustering,Elucidating known PD pathways,Circuitry & Neuromodulation
Endo-IP and Lyso-IP Toolkit for Endolysosomal Profiling of Human-Induced Neurons,New method/model to explore PD mechanism,Clearance
Comparative Analysis of AAV Serotypes for Transduction of Olfactory Sensory Neurons,New method/model to explore PD mechanism,Methods
Presynapses are mitophagy pit stops that prevent axon degeneration,Elucidating known PD pathways,"Clearance, PD Risk Factors"
Progressive vulnerability of cortical synapses in α-synucleinopathy,Elucidating known PD pathways,"Proteinopathy, Circuitry & Neuromodulation"
Parkinson's Families Project: a UK-wide study of early onset and familial Parkinson's disease,Elucidating known PD pathways,Omics
Vibrational Control of Complex Networks,Foundational Biology,Circuitry & Neuromodulation
Temporal control of acute protein aggregate turnover by UBE3C and NRF1-dependent proteasomal pathways,Elucidating known PD pathways,"PD Risk Factors, Proteinopathy"
Movement-related activity in the internal globus pallidus of the parkinsonian macaque,Elucidating known PD pathways,Circuitry & Neuromodulation
Dissociation of putative open loop circuit from ventral putamen to motor cortical areas in humans I: high-resolution connectomics,Elucidating known PD pathways,"Circuitry & Neuromodulation, Methods"
Reconstitution of BNIP3/NIX-mediated autophagy reveals two pathways and hierarchical flexibility of the initiation machinery,Elucidating known PD pathways,Clearance
Cortico-amygdala synaptic structural abnormalities produced by templated aggregation of α-synuclein,Elucidating known PD pathways,"Circuitry & Neuromodulation, Proteinopathy"
Microbiome-based biomarkers to guide personalized microbiome-based therapies for Parkinson’s disease,New target/circuit for PD,"Gut & Microbiome,Translational and Clinical Measures of Disease Biology"
Peripheral Blood Immune Cells from Individuals with Parkinson’s Disease or Inflammatory Bowel Disease Share Deficits in Iron Storage and Transport that are Modulated by Non-Steroidal Anti-Inflammatory Drugs,New method/model to explore PD mechanism,"Inflammation & Immune Regulation, Gut & Microbiome"
Characterizing enteric neurons in dopamine transporter (DAT)-Cre reporter mice reveals dopaminergic subtypes with dual-transmitter content,Elucidating known PD pathways,"Gut & Microbiome, Circuitry & Neuromodulation"
Development and characterization of a non-human primate model of disseminated synucleinopathy,New method/model to explore PD mechanism,"Proteinopathy, Methods"
GEARBOCS: An Adeno Associated Virus Tool for In Vivo Gene Editing in Astrocytes,New method/model to explore PD mechanism,"Methods, Cellular Subtyping"
Experimental and Computational Methods for Allelic Imbalance Analysis from Single-Nucleus RNA-seq Data,New method/model to explore PD mechanism,"Methods, Omics"
Genetically Encoded and Modular SubCellular Organelle Probes (GEM SCOPe) reveal lysosomal and mitochondrial dysfunction driven by PRKN,New method/model to explore PD mechanism,Clearance
"Development of a Simplified Smell Test to Identify Patients with Typical Parkinson’s as Informed by Multiple Cohorts, Machine Learning and External Validation",Elucidating known PD pathways,Methods
Global cellular proteo-lipidomic profiling of diverse lysosomal storage disease mutants using nMOST,New method/model to explore PD mechanism,Clearance
Combinatorial selective ER-phagy remodels the ER during neurogenesis,Foundational Biology,"Clearance, Methods"
Visualizing chaperone-mediated multistep assembly of the human 20S proteasome,Foundational Biology,Proteinopathy
Movement-related increases in subthalamic activity optimize locomotion,New target/circuit for PD,Circuitry & Neuromodulation
Motor Cortical Neuronal Hyperexcitability Associated with α-Synuclein Aggregation,Elucidating known PD pathways,"Circuitry & Neuromodulation, Proteinopathy"
Nigrostriatal tau pathology in parkinsonism and Parkinson’s disease,New target/circuit for PD,"PD Risk Factors, Proteinopathy"
scNAT: a deep learning method for integrating paired single-cell RNA and T cell receptor sequencing profiles,New method/model to explore PD mechanism,Methods
Gut-Initiated Alpha Synuclein Fibrils Drive Parkinson’s Disease Phenotypes: Temporal Mapping of non-Motor Symptoms and REM Sleep Behavior Disorder,Elucidating known PD pathways,Methods
Restoration of striatal neuroprotective pathways by kinase inhibitor treatment of Parkinson’s linked-LRRK2 mutant mice,Elucidating known PD pathways,"Clearance, Circuitry & Neuromodulation"
Pathogenic LRRK2 mutations cause loss of primary cilia and Neurturin in striatal Parvalbumin interneurons,Elucidating known PD pathways,"Clearance, Cellular Subtyping"
A comparative analysis of Parkinson’s disease and inflammatory bowel disease gut microbiomes highlights shared depletions in key butyrate-producing bacteria,New target/circuit for PD,"Gut & Microbiome, Imflammation & Immune Regulation"
Locus coeruleus injury modulates ventral midbrain neuroinflammation during DSS-induced colitis,Elucidating known PD pathways,"Gut & Microbiome, Imflammation & Immune Regulation"
Biochemical Fractionation of Human α-Synuclein in a Drosophila Model of Synucleinopathies,New method/model to explore PD mechanism,"Proteinopathy, Methods"
PINK1 deficiency rewires early immune responses in a mouse model of Parkinson’s disease triggered by intestinal infection,Elucidating known PD pathways,Inflammation & Immune Regulation
Genome-wide CRISPR screen identifies neddylation as a regulator of neuronal aging and AD neurodegeneration.,New target/circuit for PD,PD Risk Factors
Parkinsonism Sac domain mutation in Synaptojanin-1 affects ciliary properties in iPSC-derived dopaminergic neurons,Elucidating known PD pathways,"Clearance, Cellular Subtyping"
Autophagy preferentially degrades non-fibrillar polyQ aggregates.,Foundational Biology,"Clearance, PD Risk Factors"
Excessive firing of dyskinesia-associated striatal direct pathway neurons is gated by dopamine and excitatory synaptic input,Elucidating known PD pathways,Circuitry & Neuromodulation
Mitochondrial oxidant stress promotes α-synuclein aggregation and spreading in mice with mutated glucocerebrosidase,Elucidating known PD pathways,"Proteinopathy, Clearance"
Loss of the lysosomal lipid flippase ATP10B leads to progressive dopaminergic neurodegeneration and Parkinsonian motor deficits,Elucidating known PD pathways,"Clearance, Circuitry & Neuromodulation"
Dissociation of novel open loop from ventral putamen to motor areas from classic closed loop in humans II: task-based function,Elucidating known PD pathways,"Methods, Circuitry & Neuromodulation"
Microendoscopic calcium imaging in motor cortices of macaques during rest and movement,Foundational Biology,Circuitry & Neuromodulation
Transcriptional pathobiology and multi-omics predictors for Parkinson’s disease,New method/model to explore PD mechanism,"Methods, Omics"
SynBot is an open-source image analysis software for automated quantification of synapses,New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
α-Synuclein overexpression and the microbiome shape the gut and brain metabolome in mice,Elucidating known PD pathways,"Proteinopathy, Gut & Microbiome"
"The diversity of SNCA transcripts in neurons, and its impact on antisense oligonucleotide therapeutics",Elucidating known PD pathways,"Proteinopathy, Omics"
Enhanced beta power emerges from simulated parkinsonian primary motor cortex,Foundational Biology,"Circuitry & Neuromodulation, Cellular Subtyping"
Lysosome damage triggers acute formation of ER to lysosomes membrane tethers mediated by the bridge-like lipid transport protein VPS13C,Elucidating known PD pathways,Clearance
Isolation and Lipidomic Profiling of Neuronal Lipid Droplets: Unveiling the Lipid Landscape for insights into Neurodegenerative Disorders,New method/model to explore PD mechanism,"Clearance, PD Risk Factors"
Mouse α-synuclein fibrils are structurally and functionally distinct from human fibrils associated with Lewy body diseases,Elucidating known PD pathways,Proteinopathy
An axonal brake on striatal dopamine output by cholinergic interneurons,Elucidating known PD pathways,Circuitry & Neuromodulation
Rapid modulation of striatal cholinergic interneurons and dopamine release by satellite astrocytes,Foundational Biology,Circuitry & Neuromodulation
"Targeted micro-fiber arrays for measuring and manipulating localized multi-scale neural dynamics over large, deep brain volumes during behavior",New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
Mitochondrial damage triggers the concerted degradation of negative regulators of neuronal autophagy,Elucidating known PD pathways,Clearance
Refinement of efficient encodings of movement in the dorsolateral striatum throughout learning,Elucidating known PD pathways,Circuitry & Neuromodulation
Activity-Dependent Remodeling of Corticostriatal Axonal Boutons During Motor Learning,Elucidating known PD pathways,Circuitry & Neuromodulation
Molecular and spatial transcriptomic classification of midbrain dopamine neurons and their alterations in a LRRK2G2019S model of Parkinson’s disease,Elucidating known PD pathways,"Cellular Subtyping, Omics"
Endogenous LRRK2 and PINK1 function in a convergent neuroprotective ciliogenesis pathway in the brain,Elucidating known PD pathways,Clearance
Tonic dendritic GABA release by substantia nigra dopaminergic neurons,Elucidating known PD pathways,Circuitry & Neuromodulation
Genetic screening and metabolomics identify glial adenosine metabolism as a therapeutic target in Parkinson’s disease,New method/model to explore PD mechanism,Omics
"Elevated brain α-synuclein, phosphorylated-tau, and oxidative stress in mice that survived influenza A pneumonitis",Elucidating known PD pathways,Inflammation & Immune Regulation
3D imaging of neuronal inclusions and protein aggregates in human neurodegeneration by multiscale X-ray phase-contrast tomography,New method/model to explore PD mechanism,"Proteinopathy, Methods"
Chronic hyperactivation of midbrain dopamine neurons causes preferential dopamine neuron degeneration,Elucidating known PD pathways,Circuitry & Neuromodulation
Inhibition of Indirect Pathway Activity Causes Abnormal Decision-Making In a Mouse Model of Impulse Control Disorder in Parkinson’s Disease,Elucidating known PD pathways,"Methods, Circuitry & Neuromodulation"
Tagless LysoIP for immunoaffinity enrichment of native lysosomes from clinical samples,New method/model to explore PD mechanism,"Clearance, Methods"
Reward perseveration is shaped by GABAA-mediated dopamine pauses,New method/model to explore PD mechanism,Circuitry & Neuromodulation
Adult-Onset Deletion of ATP13A2 in Mice Induces Progressive Nigrostriatal Pathway Dopaminergic Degeneration and Lysosomal Abnormalities,Elucidating known PD pathways,"Methods, Circuitry & Neuromodulation"
"R1441C and G2019S LRRK2 knockin mice have distinct striatal molecular, physiological, and behavioral alterations",Elucidating known PD pathways,"Methods, Circuitry & Neuromodulation"
Comparison of Alternative pre-mRNA Splicing and Gene Expression Patterns in Midbrain Lineage Cells Carrying Familial Parkinson’s Disease Mutations,New method/model to explore PD mechanism,Methods
Comparative study of enriched dopaminergic neurons from siblings with Gaucher  disease discordant for parkinsonism,Elucidating known PD pathways,"Translational and Clinical Measures of Disease Biology, Methods"
A proteome-wide quantitative platform for nanoscale spatially resolved extraction of membrane proteins into native nanodiscs,New method/model to explore PD mechanism,Clearance
Proportion and distribution of neurotransmitter-defined cell types in the ventral tegmental area and substantia nigra pars compacta,Elucidating known PD pathways,Circuitry & Neuromodulation
Deep sequencing of proteotoxicity modifier genes uncovers a Presenilin-2/beta-amyloid-actin genetic risk module shared among alpha-synucleinopathies,Elucidating known PD pathways,"Methods, Proteinopathy"
LRRK2 G2019S mutation suppresses differentiation of Th9 and Treg cells via JAK/STAT3,Elucidating known PD pathways,Inflammation & Immune Regulation
Adoptive transfer of mitochondrial antigen-specific CD8+ T-cells in mice causes parkinsonism and compromises the dopamine system,New method/model to explore PD mechanism,Inflammation & Immune Regulation
GLP-1 receptor agonism ameliorates Parkinson’s disease through 1 modulation of neuronal insulin signalling and glial suppression,Elucidating known PD pathways,"Proteinopathy, Translational and Clinical Measures of Disease Biology"
Alpha-synuclein aggregates trigger anti-viral immune pathways and RNA editing in human astrocytes,Elucidating known PD pathways,"Proteinopathy, Inflammation & Immune Regulation"
Pathways controlling neurotoxicity and proteostasis in mitochondrial complex I deficiency.,Elucidating known PD pathways,Clearance
Comparative analysis of AAV serotypes for transduction of olfactory sensory neurons,New method/model to explore PD mechanism,Methods
Modeling gene-environment interactions in Parkinson's Disease: Helicobacter pylori infection of Pink1-/- mice induces CD8 T cell-dependent motor and cognitive dysfunction.,New method/model to explore PD mechanism,Inflammation & Immune Regulation
Large-scale visualisation of α-synuclein oligomers in Parkinson’s disease brain tissue,New method/model to explore PD mechanism,"Proteinopathy, Methods"
Nova-ST: Nano-Patterned Ultra-Dense platform for spatial transcriptomics,New method/model to explore PD mechanism,Omics
An open-source MRI compatible frame for multimodal presurgical mapping in macaque and capuchin monkey,New method/model to explore PD mechanism,Methods
Comparative analysis of methods to reduce activation signature gene expression in PBMCs,Foundational Biology,Inflammation & Immune Regulation
Disease progression strikingly differs in research and real-world Parkinson's populations,Foundational Biology,"PD Risk Factors, Methods"
